lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1988,3,NA,0.18,75.25689697,54.91999817,33.44366455,22.8311345,21.18678093,0,0.299127519
-100.3,35.4,P1,1988,4,NA,-0.31,104.4635391,73.55999756,58.72786713,25.13068616,22.8311345,5,0.360554785
-100.3,35.4,P1,1988,5,NA,-1.3,137.2406616,12.80000019,59.18242264,20.02995312,25.13068616,24,0.411229879
-100.3,35.4,P1,1988,6,NA,-1.11,162.7123413,72.87999725,85.64627075,19.48792785,20.02995312,13,0.415196151
-100.3,35.4,P1,1988,7,NA,-1.61,169.5782623,98.80999756,105.8243332,19.68585998,19.48792785,23,0.410699695
-100.3,35.4,P1,1988,8,NA,-1.64,155.7602081,41.09000015,75.9019165,15.60403258,19.68585998,7,0.394338369
-100.3,35.4,P1,1988,9,NA,-1.71,116.2044983,183.0899963,72.36402893,22.82450944,15.60403258,23,0.416025817
-100.3,35.4,P1,1989,1,NA,-1.55,37.50917816,17.44000053,6.700959206,20.23461759,20.71627676,16,0.274588555
-100.3,35.4,P1,1989,10,NA,-0.51,88.65049744,28.31999969,41.29072571,22.72239923,27.4779737,9,0.36962077
-100.3,35.4,P1,1989,11,NA,0.06,52.00989151,0.600000024,12.01823521,19.72704828,22.72239923,-10,0.327020139
-100.3,35.4,P1,1989,12,NA,0.27,30.81574821,7.690000057,1.074545383,21.64308727,19.72704828,-7,0.296368003
-100.3,35.4,P1,1989,2,NA,-1.23,37.29236221,22.12999916,10.13127804,25.02729297,20.23461759,-17,0.244984612
-100.3,35.4,P1,1989,3,NA,-1.14,80.95392609,39.68999863,20.97375488,20.43630481,25.02729297,-11,0.265441447
-100.3,35.4,P1,1989,4,NA,-1.66,112.092453,11.44999981,42.38936234,19.75093186,20.43630481,-13,0.320415497
-100.3,35.4,P1,1989,5,NA,-1.26,137.1302338,131.3600006,61.66073227,24.02289063,19.75093186,10,0.434055388
-100.3,35.4,P1,1989,6,NA,-0.74,148.9389191,201.5700073,108.8273697,24.95401949,24.02289063,18,0.447928429
-100.3,35.4,P1,1989,7,NA,-0.64,166.3874207,43.84000015,108.3085709,14.63026255,24.95401949,2,0.451771528
-100.3,35.4,P1,1989,8,NA,-0.04,143.5347595,83.09999847,91.77407074,NA,14.63026255,-13,0.429337978
-100.3,35.4,P1,1989,9,NA,-0.4,112.6925125,70.98000336,68.24655914,27.4779737,NA,-6,0.43051672
-100.3,35.4,P1,1990,1,NA,0.15,38.8003006,29.77000046,3.060475111,20.65531462,21.64308727,-4,0.283361733
-100.3,35.4,P1,1990,10,NA,0.17,84.05435944,27.43000031,35.24509048,26.72025859,19.31831241,3,0.339143038
-100.3,35.4,P1,1990,11,NA,0.4,49.48539734,61.72999954,11.72283173,22.75216728,26.72025859,-3,0.291774333
-100.3,35.4,P1,1990,12,NA,0.4,32.80056,8.930000305,6.154459,21.70210183,22.75216728,-17,0.286663383
-100.3,35.4,P1,1990,2,NA,1.12,46.99382782,52.88000107,12.01315212,21.34203315,20.65531462,2,0.266507924
